task_id,arrival_time,task_type,cpu_demand,gpu_demand,memory_demand,bandwidth_demand,token_amount,deadline,priority,migratable,migration_cost_weight,migration_delay_penalty
j62803,0,delay_sensitive,3.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j43281,0,delay_sensitive,4.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j610121,0,delay_sensitive,7.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j600349,0,delay_sensitive,4.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j360424,0,delay_sensitive,5.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j483873,0,delay_sensitive,9.0,0.0,4.5,0.5,0.0,1,3,False,1.0,0.0
j530880,0,delay_sensitive,2.0,0.0,4.0,0.5,0.0,1,3,False,1.0,0.0
j744102,0,delay_sensitive,8.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j837711,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j221783,0,delay_sensitive,9.0,0.0,4.5,0.5,0.0,1,3,False,1.0,0.0
j534401,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j34124,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j600349,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j530239,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j583371,0,delay_sensitive,12.0,0.0,6.0,0.5,0.0,1,3,False,1.0,0.0
j387830,0,delay_sensitive,4.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j483873,0,delay_sensitive,14.0,0.0,7.0,0.5,0.0,1,3,False,1.0,0.0
j158021,0,delay_sensitive,10.0,0.0,5.0,0.5,0.0,0,3,False,1.0,0.0
j700313,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j610121,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j224254,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j837711,0,delay_sensitive,2.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j357491,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j126584,0,delay_sensitive,3.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j571568,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j610121,0,delay_sensitive,9.0,0.0,4.5,0.5,0.0,1,3,False,1.0,0.0
j158021,0,delay_sensitive,13.0,0.0,6.5,0.5,0.0,1,3,False,1.0,0.0
j158021,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j571568,0,delay_sensitive,9.0,0.0,4.5,0.5,0.0,0,3,False,1.0,0.0
j530239,0,delay_sensitive,10.0,0.0,5.0,0.5,0.0,1,3,False,1.0,0.0
j757631,0,delay_sensitive,12.0,0.0,6.0,0.5,0.0,1,3,False,1.0,0.0
j757631,0,delay_sensitive,12.0,0.0,6.0,0.5,0.0,1,3,False,1.0,0.0
j224443,0,delay_sensitive,7.0,0.0,4.0,0.5,0.0,1,3,False,1.0,0.0
j230254,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j90165,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j600349,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j647487,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j613886,0,delay_sensitive,30.0,0.0,15.0,0.5,0.0,1,3,False,1.0,0.0
